inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;;inf-norm-Clever-5-samples;;inf-norm-Clever-20-samples;;inf-norm-Clever-100-samples;;inf-norm-Clever-1024-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;;2-norm-Clever-5-samples;;2-norm-Clever-20-samples;;2-norm-Clever-100-samples;;2-norm-Clever-1024-samples;1-norm-min-adv-dist;1-norm-PGD-dist;1-norm-sec-att-dist;1-norm-Clever-5-samples;1-norm-Clever-20-samples;1-norm-Clever-100-samples;;1-norm-Clever-1024-samples
0,0018000305;0,0018000305;0,0087523758;0;0,0018;0;0,0014;0;0,0014;0;0,0013;0,0612;0,0647;0,0612;1;0,0647;0;0,0587;0;0,0553;0;0,052;0,9075;1,3983;0,9075;0,0014;0,0005;0,0031;0;0,0008
0,0018000305;0,0018000305;0,0119411051;0;0,0014;0;0,0014;0;0,0013;0;0,0012;0,0619;0,0632;0,0619;1;0,0722;0;0,0616;0;0,0603;0;0,0532;0,9315;1,5801;0,9315;0,2032;0,1824;0,0017;0;0,1146
0,0018002987;0,0018002987;0,0093326867;0;0,0017;0;0,0016;0;0,0015;0;0,0015;0,0625;0,0646;0,0625;0;0,0497;0;0,0028;0;0,0407;0;0,0388;0,9328;2,3944;0,9328;0,0006;0,0014;0,1477;0;0,0005
0,0021000355;0,0021000355;0,0102971196;0;0,0018;0;0,0016;0;0,0015;0;0,0015;0,0648;0,0695;0,0648;0;0,0012;0;0,0055;0;0,007;0;0,0047;0,9583;2,8816;0,9583;0,0009;0,0049;0,0006;0;0,0035
0,0021000355;0,0021000355;0,0121742189;0;0,002;0;0,002;0;0,0017;0;0,0017;0,0653;0,0698;0,0653;1;0,0786;0;0,0012;0;0,0524;0;0,0495;0,9928;1,9879;0,9928;0,0013;0,0048;0,006;0;0,0018
0,0021000355;0,0021000355;0,0112960637;0;0,0019;0;0,0017;0;0,0016;0;0,0016;0,0665;0,0694;0,0665;0;0,0021;0;0,0087;0;0,0581;0;0,0574;1,0078;2,395;1,0078;0,0046;0,0018;0,0028;0;0,004
0,0021000355;0,0021000355;0,0112927854;0;0,0018;0;0,0015;0;0,0014;0;0,0014;0,0668;0,0695;0,0668;0;0,0582;0;0,0629;0;0,0528;0;0,052;1,0097;1,9801;1,0097;0,0111;0,0023;0,011;0;0,1858
0,0021000355;0,0021000355;0,0124829412;0;0,0014;0;0,0014;0;0,0013;0;0,0013;0,0675;0,0693;0,0675;1;0,0872;0;0,0618;0;0,0559;0;0,0494;1,0129;1,5989;1,0129;0,002;0,0036;0,0048;0;0,0016
0,0021000355;0,0021000355;0,0109819472;0;0,0021;0;0,0021;0;0,0017;0;0,0018;0,0686;0,0697;0,0686;0;0,0023;0;0,0638;0;0,0046;0;0,0082;1,1184;1,9927;1,1184;0,0129;0,0101;0,0038;0;0,0056
0,0021000355;0,0021000355;0,0098284334;0;0,0015;0;0,0016;0;0,0015;0;0,0014;0,0693;0,0696;0,0693;0;0,0659;0;0,0605;0;0,0577;0;0,0514;1,1411;2,967;1,1411;0,0093;0,0022;0,0165;0;0,0013
0,0021000355;0,0021000355;0,0120116323;0;0,0017;0;0,0016;0;0,0015;0;0,0015;0,0697;0,0697;0,0729;0;0,054;0;0,0523;0;0,0491;0;0,0473;1,2041;2,3913;1,2041;0,0089;0,0086;0,0061;0;0,0044
0,0021000355;0,0021000355;0,0119900703;0;0,0017;0;0,0016;0;0,0014;0;0,0013;0,0697;0,0697;0,0724;0;0,0533;0;0,0501;0;0,0521;0;0,0466;1,2254;2,5929;1,2254;0,0074;0,0046;0,0025;0;0,0013
0,0021000355;0,0021000355;0,0117528141;1;0,0027;1;0,0024;0;0,002;0;0,0014;0,0708;0,0745;0,0708;0;0,0704;0;0,0004;0;0,0602;0;0,0019;1,2255;2,1896;1,2255;0,2736;0,2557;0,0086;0;0,0128
0,0021003485;0,0021003485;0,0140389204;0;0,0014;0;0,0014;0;0,0014;0;0,0012;0,0728;0,0742;0,0728;0;0,0685;0;0,0516;0;0,0514;0;0,0482;1,2283;2,6972;1,2283;0,0142;0,0015;0,0043;0;0,0011
0,0024000406;0,0024000406;0,0247224867;1;0,0032;1;0,0033;0;0,002;0;0,0018;0,0728;0,0784;0,0728;0;0,0088;0;0,0101;0;0,0021;1;0,0731;1,2499;8,4641;1,2499;0,0055;0,0027;0,0016;0;0,001
0,0024000406;0,0024000406;0,0131908804;1;0,0034;1;0,0026;0;0,0024;0;0,0023;0,0747;0,0747;0,0843;0;0,0026;0;0,0028;0;0,0014;0;0,0007;1,2503;5,2837;1,2503;0,0132;0,0094;0,0089;0;0,0027
0,0024000406;0,0024000406;0,0132223368;0;0,0021;0;0,0019;0;0,0017;0;0,0018;0,0761;0,0797;0,0761;0;0,0662;0;0,0669;0;0,0587;0;0,0008;1,263;2,5852;1,263;0,0064;0,0056;0,003;0;0,2794
0,0024000406;0,0024000406;0,011472553;0;0,0022;0;0,0021;0;0,0019;0;0,0019;0,0764;0,0794;0,0764;1;0,0799;0;0,0717;0;0,0675;0;0,0634;1,2949;4,0591;1,2949;0,0094;0,0043;0,003;0;0,0035
0,0024000406;0,0024000406;0,010997504;0;0,0021;0;0,002;0;0,0018;0;0,0018;0,0777;0,0777;0,1017;0;0,0508;0;0,0485;0;0,0437;0;0,0429;1,3043;2,3513;1,3043;0,009;0,0022;0,0014;0;0,0032
0,0024000406;0,0024000406;0,0157739669;0;0,0024;0;0,0022;0;0,0022;0;0,002;0,0793;0,0793;0,0806;0;0,003;0;0,0788;0;0,0742;0;0,0022;1,3195;3,1522;1,3195;0,0081;0,0004;0,0027;0;0,0079
0,0024000406;0,0024000406;0,0104446709;0;0,0016;0;0,0014;0;0,0014;0;0,0013;0,08;0,0839;0,08;1;0,1121;0;0,0797;0;0,0552;0;0,0514;1,3447;2,7751;1,3447;0,0084;0,0018;0,0048;0;0,0008
0,0024000406;0,0024000406;0,0149619877;0;0,002;0;0,002;0;0,0018;0;0,0017;0,0825;0,0848;0,0825;0;0,0105;0;0,0022;0;0,0621;0;0,0576;1,3715;4,1034;1,3715;0,0087;0,0039;0,0015;0;0,0007
0,0024000406;0,0024000406;0,0154086947;1;0,0037;1;0,0028;0;0,0022;0;0,0022;0,0826;0,0826;0,0862;1;0,2067;1;0,1155;0;0,0033;0;0,0676;1,3818;3,3709;1,3818;0,005;0,0127;0,0009;0;0,0031
0,0024000406;0,0024000406;0,0144166946;0;0,0015;0;0,0014;0;0,0014;0;0,0013;0,0831;0,0846;0,0831;0;0,0802;0;0,0686;0;0,0662;0;0,0191;1,4268;2,5908;1,4268;0,003;0,0016;0,0028;0;0,0023
0,0027000457;0,0027000457;0,0136876106;0;0,0022;0;0,0017;0;0,0019;0;0,0017;0,0836;0,0836;0,0875;0;0,0821;0;0,0704;0;0,0479;0;0,0478;1,565;2,5861;1,565;0,0039;0,0048;0,0015;0;0,0042
0,0027000457;0,0027000457;0,0246332884;1;0,0039;1;0,003;1;0,0031;0;0,0025;0,0846;0,0846;0,0936;0;0,0735;0;0,0759;0;0,068;0;0,0668;1,5755;2,385;1,5755;0,005;0,0017;0,3247;0;0,0006
0,0027000457;0,0027000457;0,0136809647;1;0,0029;0;0,0025;0;0,0024;0;0,0024;0,0847;0,0847;0,0864;0;0,082;0;0,0018;0;0,0017;0;0,0679;1,6179;3,1851;1,6179;0,6956;0,5443;0,0024;0;0,0046
0,0027000457;0,0027000457;0,0134650916;0;0,0024;0;0,0015;0;0,0014;0;0,0013;0,0854;0,0895;0,0854;0;0,0803;0;0,08;0;0,0662;0;0,0648;1,6767;3,5543;1,6767;0,0017;0,0021;0,0031;0;0,0024
0,002700448;0,002700448;0,0379820019;1;0,011;1;0,008;1;0,0039;1;0,0044;0,0862;0,0862;0,0862;1;0,1309;1;0,1188;0;0,0618;0;0,056;1,7171;3,1916;1,7171;0,0147;0,0074;0,008;0;0,0011
0,002700448;0,002700448;0,0421836376;1;0,003;0;0,0027;0;0,0026;0;0,0025;0,0881;0,0892;0,0881;0;0,0013;0;0,0023;0;0,0032;0;0,001;1,7356;3,1877;1,7356;0,0039;0,0026;0,0025;0;0,0007
